Model_Name,Category,BERTScore_F1,Input_Length_Words,ID,Original_Input,Gold_Summary,Generated_Summary
summary_abs_finetuned_BART_FULL,10th Percentile (Poor),0.8932638764381409,72,c4bcca4baafe4b56830783bf620e705b,"This nature tour, in my opinion, has pretty good views for photos. It's very suitable for family vacations for those who love nature. The entrance fee is IDR 5,000 per person, IDR 5,000 for four-wheeled vehicles, and IDR 3,000 for two-wheeled vehicles.

The snacks are also standard and not overpriced. The only drawback is that the road leading there is still damaged. If you're riding a motorcycle, you need to be careful.","This nature attraction, ideal for families and photography, offers reasonably priced snacks. The main drawback is poor accessibility due to a damaged access road, which requires caution, particularly for motorcyclists.","This nature tour offers good photo opportunities and is highly recommended for family vacations. The entrance fee is IDR 5,000 per person, with additional charges for four-wheeled vehicles and IDR 3,000 for motorcycles. Standard and reasonably priced snacks are also available. However, the road leading to the site is in poor condition, requiring caution."
summary_abs_finetuned_BART_FULL,50th Percentile (Median),0.9189647436141968,45,c39c9587465740cf91942296b0a9bbe5,"Curug Tilu Leuwi Opat is a beautiful natural recreational tourist destination featuring a waterfall.
It is located in the West Bandung regency and is very easy to find.
The entrance fee is very affordable, and you can enjoy the beautiful natural scenery of the waterfall.","The Curug Tilu Leuwi Opat waterfall is an easily located and affordable natural attraction, where the primary activity is enjoying the scenic environment.","Curug Tilu Leuwi Opat, a natural recreational destination in West Bandung regency, is easily accessible with an affordable entrance fee. Visitors can enjoy beautiful natural scenery."
summary_abs_finetuned_BART_FULL,90th Percentile (Good),0.9418046474456787,46,a9b6066417bf4df5bd2ae3ec39807b92,"Nice place to visit if you're going to Bandung. Lots of Instagram-worthy cafes inside too, like 450 Degree Pizza, Golden Pine, etc. Many photo spots and activities (rides?) like the Orchid Garden, Wood Bridge, Flying Fox. Entrance ticket price is Rp 50k per person, excluding parking.","This Bandung attraction charges a Rp 50,000 entrance fee per person, excluding parking. On-site facilities include several Instagram-worthy cafes, and visitors can enjoy activities such as an Orchid Garden, a Wood Bridge, a Flying Fox, and numerous photo opportunities.","This Bandung attraction offers numerous Instagrammable cafes, including 450 Degree Pizza and Golden Pine, along with numerous photo opportunities and activities like the Orchid Garden, Wood Bridge, and Flying Fox. The entrance fee is Rp 50k per person, excluding parking."
summary_abs_finetuned_PEGASUS_FULL,10th Percentile (Poor),0.8889710903167725,75,e7d5841268164cb6b05f7ace082ba8a3,"Recommended for those who like trekking, it's also fun to play in the water near the waterfall.
It's best to come here when you're really healthy so you can make it to the waterfall, especially on the way back, your legs will be tired.
However, yesterday the waterfall looked partly brown and there was a lot of trash on the edges of the river below, if it could be maintained and the resting areas improved.","This attraction offers trekking and water activities at a waterfall, but access involves a strenuous hike suitable only for visitors in good physical condition. The site's facilities, such as resting areas, require improvement, and it suffers from poor maintenance, with issues of litter and discolored water noted.","This attraction is recommended for those who enjoy trekking to the waterfall, particularly on the way back. However, visitors should be aware of the presence of trash on the river's edge, and the waterfall itself."
summary_abs_finetuned_PEGASUS_FULL,50th Percentile (Median),0.9155826568603516,58,7f03d11c3a744532813d52dc02ebbe8c,"Gunung Putri is a beautiful place to enjoy city views from a high vantage point. The distance from the car park to the summit is approximately one kilometer with an elevation of 100 meters. There are coffee and Indomie stalls, as well as restrooms near the car park. It's a comfortable place to visit during sunrise and sunset.","Gunung Putri offers scenic city views, particularly at sunrise and sunset, from a summit accessible via a one-kilometer walk with a 100-meter elevation gain from the car park. Basic facilities, including food stalls and restrooms, are available near the parking area.","Gunung Putri offers beautiful views from a high vantage point, with a distance of approximately one kilometer from the car park to the summit, with an elevation of approximately 100 meters."
summary_abs_finetuned_PEGASUS_FULL,90th Percentile (Good),0.9388536214828491,46,a9b6066417bf4df5bd2ae3ec39807b92,"Nice place to visit if you're going to Bandung. Lots of Instagram-worthy cafes inside too, like 450 Degree Pizza, Golden Pine, etc. Many photo spots and activities (rides?) like the Orchid Garden, Wood Bridge, Flying Fox. Entrance ticket price is Rp 50k per person, excluding parking.","This Bandung attraction charges a Rp 50,000 entrance fee per person, excluding parking. On-site facilities include several Instagram-worthy cafes, and visitors can enjoy activities such as an Orchid Garden, a Wood Bridge, a Flying Fox, and numerous photo opportunities.","This Bandung attraction offers numerous Instagram-worthy cafes, including 450 Degree Pizza, Golden Pine, and numerous photo opportunities, including the Orchid Garden, Wood Bridge, and Flying Fox. Entrance fee is Rp 50k per person, excluding parking."
summary_abs_finetuned_BART_SAMPLED,10th Percentile (Poor),0.8921501040458679,30,02d68d44cadb41f3890d0fd8c280d28f,"It's difficult to get water for ablution and the children after they've gotten dirty, I'm confused about how to bathe them.. there's no water, even though there's a waterfall nearby.","The location lacks essential water facilities for personal hygiene and religious ablution, which negatively impacts the experience for visitors, particularly families with children. This scarcity of water is especially notable given the site's proximity to a waterfall.",The attraction is difficult to access for ablution and children after they've been dirty are unable to bathe due to a lack of water.
summary_abs_finetuned_BART_SAMPLED,50th Percentile (Median),0.9191672801971436,48,ae0111c8a15d4ea7bffa3af03188ec10,"For those busy with daily activities, with the noisy sound of motorcycles and passing cars... needing peace and eye relaxation with greenery... Let's come here... It's comfortable, you know. Your eyes will be pampered with the coolness... The villa is also naturally made of wood... everything is natural.","This attraction offers a tranquil escape from busy urban life, providing a comfortable and serene environment ideal for relaxation. The site features a natural wooden villa and activities centered on enjoying the cool, green surroundings.","This natural villa offers a peaceful escape with greenery, ideal for those busy with daily activities. Visitors can enjoy a refreshing escape with its coolness and natural beauty."
summary_abs_finetuned_BART_SAMPLED,90th Percentile (Good),0.9428627490997314,46,79f03eb43a2a487f8885c186e3f8950d,"The place is very clean, very pleasant and satisfying, and what I liked most was the uniqueness at the floating market, which is that you have to use coins to buy food there, and there are so many quirky photo spots, no less than those outside.","This clean and pleasant attraction features a unique floating market where food is purchased with coins, as well as numerous quirky photo opportunities.","The floating market offers a clean, pleasant, and satisfying experience with unique coin-operated food purchases and numerous unique photo opportunities."
summary_abs_finetuned_PEGASUS_SAMPLED,10th Percentile (Poor),0.8889740109443665,72,917974358e0241189c65a4faf6ade8eb,"Snacking on the boat... there are many rides here. Entrance fee is 30,000 per person. To enter the children's play area and experience all rides, it costs 98,000. Includes playground, flying fox, mini train, becak (pedicab). If you only want to play on one ride, it costs 25,000. You are guaranteed to be satisfied if you come here. You can rent Japanese costumes, ride the dragon boat, and ride the paddle boat.","This tourist attraction features a general admission fee, with options to either pay per ride or purchase an all-inclusive pass for the children's play area. Facilities include a playground and Japanese costume rentals. Activities range from land-based rides like a flying fox and mini train to water activities such as dragon and paddle boat rides.","This attraction offers numerous rides, including a playground, flying fox, mini train, and becak (pedicab), with an entrance fee of 30,000 per person. The children's play area costs 98,000 and includes a playground, flying fox, mini train, and becak (pedicab), with a separate 25,000 fee for single rides. Rental of Japanese costumes, dragon boat rides, and paddle boat rides are available."
