id,datetime,location,text,rating,accessibility,facility,activity,english_translation,better_english_translation,pred_nllb_baseline,pred_nllb_finetuned
21d6620348df43dfa535405763836cf0,23-05-2022 17:57,Floating Market Lembang,dengan suasana lembang yang sudah padat masih cocok untuk destinasi wisata keluarga wahana slide rainbow termasuk yang menantang adrenalin walau cuma 10detik dan wisata danaunya cocok untuk keluarga tempatnya beraih rapi dan tertata dengan baik,5,neutral,positive,positive,"Even with the already dense Lembang atmosphere, it's still suitable as a family tourist destination. The Rainbow slide, though only 10 seconds long, is an adrenaline-pumping attraction. The lake tourism is also suitable for families, with the place being clean, tidy, and well-organized.","Even with Lembang's already crowded atmosphere, it is still suitable as a family tourist destination. The Rainbow Slide is an adrenaline-pumping ride, even though it's only 10 seconds, and its lake attraction is suitable for families. The place is clean, neat, and well-organized.",With the atmosphere of the terrain that is already dense still suitable for family tourist destinations car slide rainbow including those that challenge the adrenaline although only 10 seconds and the lake tour is suitable for family the place is neat and well organized,"With a dense Lembang atmosphere, it's still suitable for family tourism destinations, including adrenaline-pumping rainbow slide rides, even though it's only 10 minutes, and the lake tour is suitable for families. The place is neat and well-organized."
c1592a8827344973ae1408a75630762f,15-02-2022 13:43,Sanghyang Heuleut,supaya enggak bingung pemberhentian di warung batu aki ada parkiran siapkan fisik ya jalanan menurun sekitar 1 jam berjalan baru tiba,1,neutral,neutral,neutral,"So you're not confused, the stop at Warung Batu Aki has parking. Prepare yourselves physically, it's about a 1-hour downhill walk until you arrive.","To avoid confusion, the stop is at Warung Batu Aki where there's a parking area. Be physically prepared; it's about a 1-hour downhill walk to arrive.",So don't be confused. Stop at the battery stall. There's a parking lot. Get ready physically.,"So you don't get confused, stop at the stone stall, there's parking. Prepare yourself physically, the road is downhill for about 1 hour, walk when you arrive."
469e10571d4d4dca831da77a921a45bf,15-02-2020 13:05,Taman Lembah DEWATA,tempatnya asri adem cocok bawa main anak-anak ada perahu sepeda air bisa naik kuda banyak jajanan,5,neutral,positive,positive,"The place is beautiful and cool, suitable for bringing children to play. There are paddle boats, and you can ride horses and there are many snacks.","The place is serene and cool, perfect for bringing the kids to play. There are paddle boats, horse riding, and lots of snacks.",The place is asri adem suitable to bring to play children there is a boat water bike can ride horses many cakes,"The place is beautiful and cool, suitable for bringing children to play. There are boats, water bicycles, and horseback riding. There are many snacks."
fa590a9b8bfa484e8646833fb12f34ac,15-02-2020 12:57,Kebun Begonia Lembang,kebun bunganya indah unik ditambah patung-patung binatang yang menarik saran tolong ditambahkan playground untuk anak kecil jadi anak-anak kecil betah berlama-berlama di sana,3,neutral,neutral,positive,"Its flower garden is beautiful and unique, with interesting animal statues. My suggestion is to add a playground for small children, so that little ones will feel at home there for a long time.","The flower garden is beautiful and unique, with the addition of interesting animal statues. A suggestion: please add a playground for young children, so the kids will enjoy staying there for a long time.",The gardens are beautiful and unique plus the statues of animals that attract suggestions please add a playground for the little ones so the little ones can spend a lot of time there,"The flower garden is beautiful, unique, plus interesting animal statues. Suggestion: Please add a playground for young children so they can spend more time there."
0e8e4b0f6fe84c55887233850f6845cf,23-01-2023 18:22,Terminal Wisata Grafika Cikole,asyik untuk staycation pemandu outbound juga mampu mengelola kegiatan dengan baik,4,neutral,positive,neutral,"fun for a staycation, the outbound guide is also capable of managing activities well","Fun for a staycation, the outbound guide is also able to manage the activities well.",The outbound guide is also able to manage activities well.,"Fun for a staycation, outbound guides are also able to manage activities well."
9573040b03b84ed49e70dee2fcb7ce10,15-07-2022 12:40,Sarae Hills,tempat yang sangat bagus untuk keluarga perlu berjalan dan mendaki sedikit,5,neutral,neutral,positive,"A very nice place for families, you need to walk and hike a bit","A very good place for families, requires a little walking and hiking.",A great place for a family to walk and climb a little.,A very good place for families to walk and hike a bit
22668a4edb294012a526189c3b3e7f80,15-02-2019 13:23,Gunung Putri Lembang,tempatnya bagus banget banget banget trekking jalannya enak tapi trekking motornya agak susah buat dikendaraan motor untuk running man untuk camping tapi kalo buat motor gunung sih ya cocok cocok saja,4,positive,neutral,positive,"The place is really, really nice. The walking trails are good, but the motorbike trails are a bit difficult for motorbikes. For running, for camping, it's okay. But for dirt bikes, yeah, it's quite suitable.","The place is really, really good. The hiking trail is pleasant, but the motorbike trail is a bit difficult for a regular bike. It's good for camping, but for a dirt bike, it's perfectly suitable.",It's a very nice place. It's a very nice place. It's a very nice place.,"The place is really, really nice, the trekking path is nice, but the motorcycle trekking is a bit difficult for motorcycle riding, for running, for camping, but if it's for mountain bikes, it's perfect, it's just perfect."
4aa77301cfe846419bea6b74b2581bd2,23-02-2022 18:05,Gunung Tangkuban Parahu,oke keren dingin buat menambah wawasan anak-anak juga dengan cerita tangkuban perahu,5,neutral,neutral,neutral,"Okay, cool, great for adding to children's knowledge with the story of Tangkuban Perahu.","Okay, cool and chilly, also good for broadening children's knowledge with the story of Tangkuban Perahu.","Okay, cool cool to add to the children's insight.",cool cool cool to add children's insight too with tangkuban perahu stories
1c79cca5213441d5a03fd4e871be0d97,15-02-2020 13:05,Taman Lembah DEWATA,luas tempatnya untuk biaya masuk 20rb weekday 25rb weekend,3,neutral,neutral,neutral,"The space is large, for an entrance fee of 20,000 on weekdays and 25,000 on weekends.",The place is spacious. The entrance fee is 20k on weekdays and 25k on weekends.,It's a big place for an entrance fee of 20rb weekdays 25rb weekends.,"Spacious place for an entrance fee of 20,000 on weekdays, 25,000 on weekends."
1813e36c32984e2c96e84e308e2dde8a,23-09-2022 18:12,Ciwangun Indah Camp (CIC),tmp yang menyenangkan buat refreshing hiking camping tapi sayang toilet dan mesjid sepertinya harus dibenahi lagi juga akses jalan menuju ke cic pun kurang nyaman,4,negative,negative,neutral,"A fun place for refreshing hiking and camping, but unfortunately the toilets and mosque seem to need renovation, and the road access to Cic is also not very comfortable.","A fun place for refreshing, hiking, and camping, but unfortunately, the toilet and mosque seem to need to be fixed up. Also, the road access to CIC is not very comfortable.","It's nice for a refreshing hiking campsite, but the toilets and mosques seem to have to be renovated.","A fun place for refreshing hiking and camping, but unfortunately, the toilets and mosques seem to have to be renovated again, and the road access to Cic is also not comfortable."
a0fcc97a662349478b0568574864d7bc,23-01-2023 17:57,Floating Market Lembang,datang dipenghujung liburan sekolah ternyata masih rame tapi masih wajar tidak terlalu padat banyak spot-spot untuk berfoto tapi lebih suka mencoba makan sate ayam dan sate kelinci dari pasar apungnya tentunya dengan cara tukar koin untuk transaksinya satenya lezat bumbunnya harganya masih bisa ditoleransi lah,4,neutral,neutral,neutral,"Arriving at the end of the school holidays, it was surprisingly still crowded but within reasonable limits, not too packed. There were many photo spots, but I preferred trying the chicken and rabbit satay from the floating market, of course, by exchanging coins for transactions. The satay was delicious, the sauce was good, and the price was still tolerable.","Came at the end of the school holidays and it turned out to be still crowded, but it was manageable and not too packed. There are many spots for photos, but I preferred trying the chicken satay and rabbit satay from its floating market. Of course, transactions are done by exchanging coins. The satay and its sauce were delicious, and the price was still tolerable.","It's not too crowded, but it's not too crowded. There's plenty of places to take pictures.","Coming at the end of the school holidays, it turned out to be still crowded, but it's still natural not to be too crowded. There are many spots for photos, but I prefer to try eating chicken and rabbit satay from the floating market. Of course, by exchanging coins for the transaction, the satay is delicious, and the prices are still tolerable."
8bf283d66d3a45368e1ade518f3d1d00,15-02-2021 11:58,Curug Malela,tempat yang bagus untuk refreshing wonderfull butuh perjuangan dari parkir kendaraan untuk sampai dicurug malela dan sebaliknya kedepan perlu dipikirkan agar lebih mudah untuk sampai di curug bagaimana nih dinas pariwisata,4,negative,negative,positive,"A great place to refresh, wonderful, but it takes a struggle from parking the vehicle to get to Curug Malela and vice versa. In the future, it needs to be considered so that it's easier to reach the waterfall. What do you think, Department of Tourism?","A great place for refreshing, wonderful. It takes a struggle to get from the vehicle parking to Malela waterfall and back. For the future, they need to think about how to make it easier to get to the waterfall. What's the plan, tourism department?",A great place to refresh wonderfull needs a struggle from parking vehicles to get to the falls and instead the future needs to be thought of to make it easier to get to the falls how is this tourism service,"A great place for refreshing, wonderfull. It takes a struggle from parking to reaching Malela waterfall, and vice versa. In the future, it needs to be thought about to make it easier to reach the waterfall. How's this tourism service?"
6a834560c99f4eb3929e19049925318e,15-10-2022 12:57,Kebun Begonia Lembang,tiket masuknya bisa ditukar es lilin dan es lilinnya enak,5,neutral,neutral,neutral,The entrance ticket can be exchanged for popsicles and the popsicles are delicious.,"The entrance ticket can be exchanged for a popsicle, and the popsicle is delicious.",Tickets can be traded for ice cream and ice cream is delicious.,The entrance ticket can be exchanged for ice cream and the ice cream is delicious.
6a98db66ff044da78a1c7821fcf8778c,15-02-2021 12:32,Taman Hutan Jayagiri Lembang,tempatnya enak buat hiking makanan cukup terjangkau harganya,5,neutral,positive,positive,"The place is nice for hiking, the food is quite affordable.",The place is nice for hiking and the food is reasonably priced.,The place is great for hiking food is quite affordable,"The place is nice for hiking, the food is quite affordable, the price is high."
