id,datetime,location,text,rating,accessibility,facility,activity,english_translation,aspects,sentiment
68b8ed181b794a2cb4c11d4a667b9beb,2019-02-15 13:05:29,Taman Lembah DEWATA,"bagus , bersih , masih sepi jd enak 😁 …",5,neutral,neutral,positive,"good, clean, still quiet so it's nice 😁 …",,
3b251988b82c428fb18da45dfe430264,2019-02-15 14:20:51,Situ Ciburuy,"Di sini dingin, yg mau ke sini bawa jaket ya",5,neutral,neutral,positive,"It's cold here, if anyone wants to come here, bring a jacket.",air,negative
89cb60c13aeb47f49334f0bed5b001c3,2021-02-23 18:34:30,Orchid Forest Cikole,"enak bgt ke sini pas hari jumat, sepiiii 😁 …",5,neutral,neutral,positive,"It's really nice to come here on Friday, so quiet 😁","quietness, atmosphere","positive, positive"
2efdc6a5fd6f4593acf383395e6ba813,2019-02-15 13:48:45,Curug Maribaya,sayang sekali ga boleh nyebur ke curug nya 😆 …,3,neutral,neutral,negative,Too bad we can't swim in the waterfall 😆,"place, water","negative, negative"
5cefb20d7c9d46a88e1d701945753711,2021-02-23 18:13:12,Ciwangun Indah Camp (CIC),Air terjun dan kebon tehnya bagus dan asri 👍 …,3,neutral,neutral,neutral,The waterfall and the tea plantation are beautiful and natural 👍,place,positive
ef30500b7cd347dab4ded3219d5c6f2b,2021-02-15 12:24:51,Curug Tilu Leuwi Opat,Ada tempat baru buat nongkrong di %an kopi 👍👍 …,5,neutral,neutral,neutral,There's a new place to hang out at %an coffee 👍👍,place,positive
6e3fcf13e9e64cb9a4225474cd7a6af6,2022-02-23 17:58:34,Floating Market Lembang,Kalo ke sini harus bawa anak jagan sendiri 😊😊😊 …,5,neutral,neutral,neutral,"If you come here, you must bring your children, not come alone 😊😊😊 …",,
359db794346d4938b53ae5904bd4cc44,2023-01-15 12:39:45,Sarae Hills,Lumayan buat 1 tmpt bisa 7 negara di kunjungi 👍 …,5,neutral,neutral,neutral,Pretty good for one place to visit 7 countries 👍,place,positive
1129443658bf4a77b3e6a3134e5801b0,2020-02-15 13:05:10,Taman Lembah DEWATA,Tmptnya ok ... Pa LG bwt yg LG .... Kesemsem.....,2,neutral,neutral,positive,The place is okay... What else for the one that is... Smitten.....,place,neutral
ca1ccc3401dc45d2810353ea77dd212a,2023-01-23 18:05:21,Gunung Tangkuban Parahu,Awal tahun 2023 semoga LBH baik dari tahun sblm y,4,neutral,neutral,neutral,"Early 2023, hopefully better than the previous year.",,
