,id,datetime,location,text,rating,accessibility,facility,activity,english_translation,better_english_translation,LSTM_pred
0,21d6620348df43dfa535405763836cf0,23-05-2022 17:57,Floating Market Lembang,dengan suasana lembang yang sudah padat masih cocok untuk destinasi wisata keluarga wahana slide rainbow termasuk yang menantang adrenalin walau cuma 10detik dan wisata danaunya cocok untuk keluarga tempatnya beraih rapi dan tertata dengan baik,5,neutral,positive,positive,"Even with the already dense Lembang atmosphere, it's still suitable as a family tourist destination. The Rainbow slide, though only 10 seconds long, is an adrenaline-pumping attraction. The lake tourism is also suitable for families, with the place being clean, tidy, and well-organized.","Even with Lembang's already crowded atmosphere, it is still suitable as a family tourist destination. The Rainbow Slide is an adrenaline-pumping ride, even though it's only 10 seconds, and its lake attraction is suitable for families. The place is clean, neat, and well-organized.",the place is the the the the the the the the the the the the the the the
1,c1592a8827344973ae1408a75630762f,15-02-2022 13:43,Sanghyang Heuleut,supaya gk bingung pemberhentian di warung batu aki ada parkiran siapkan fisik ya jalanan menurun sekitar 1 jam berjalan baru tiba,1,neutral,neutral,neutral,"So you're not confused, the stop at Warung Batu Aki has parking. Prepare yourselves physically, it's about a 1-hour downhill walk until you arrive.","To avoid confusion, the stop is at Warung Batu Aki where there's a parking area. Be physically prepared; it's about a 1-hour downhill walk to arrive.",the place is the the the the the the the the the the the the the the the
2,469e10571d4d4dca831da77a921a45bf,15-02-2020 13:05,Taman Lembah DEWATA,tempatnya asri adem cocok bawa main anak-anak ada perahu sepeda air bisa naik kuda banyak jajanan,5,neutral,positive,positive,"The place is beautiful and cool, suitable for bringing children to play. There are paddle boats, and you can ride horses and there are many snacks.","The place is serene and cool, perfect for bringing the kids to play. There are paddle boats, horse riding, and lots of snacks.",the place is the the the the the the the the the the the the the the the
3,fa590a9b8bfa484e8646833fb12f34ac,15-02-2020 12:57,Kebun Begonia Lembang,kebun bunganya indah unik ditambah patung-patung binatang yang menarik saran tolong ditambahkan playground untuk anak kecil jadi anak-anak kecil betah berlama-berlama di sana,3,neutral,neutral,positive,"Its flower garden is beautiful and unique, with interesting animal statues. My suggestion is to add a playground for small children, so that little ones will feel at home there for a long time.","The flower garden is beautiful and unique, with the addition of interesting animal statues. A suggestion: please add a playground for young children, so the kids will enjoy staying there for a long time.",the place is the the the the the the the the the the the the the the the
4,0e8e4b0f6fe84c55887233850f6845cf,23-01-2023 18:22,Terminal Wisata Grafika Cikole,asyik untuk staycation pemandu outbound juga mampu mengelola kegiatan dengan baik,4,neutral,positive,neutral,"fun for a staycation, the outbound guide is also capable of managing activities well","Fun for a staycation, the outbound guide is also able to manage the activities well.",the place is the the the the the the the the the the the the the the the
5,9573040b03b84ed49e70dee2fcb7ce10,15-07-2022 12:40,Sarae Hills,tempat yang sangat bagus untuk keluarga perlu berjalan dan mendaki sedikit,5,neutral,neutral,positive,"A very nice place for families, you need to walk and hike a bit","A very good place for families, requires a little walking and hiking.",the place is the the the the the the the the the the the the the the the
6,22668a4edb294012a526189c3b3e7f80,15-02-2019 13:23,Gunung Putri Lembang,tempatnya bagus banget nget nget trekking jalannya enak tapi trekking motornya agak susah buat dikendaraan motor untuk running man untuk camping tapi kalo buat motor gunung sih ya cocok cocok aja,4,positive,neutral,positive,"The place is really, really nice. The walking trails are good, but the motorbike trails are a bit difficult for motorbikes. For running, for camping, it's okay. But for dirt bikes, yeah, it's quite suitable.","The place is really, really good. The hiking trail is pleasant, but the motorbike trail is a bit difficult for a regular bike. It's good for camping, but for a dirt bike, it's perfectly suitable.",the place is the the the the the the the the the the the the the the the
7,4aa77301cfe846419bea6b74b2581bd2,23-02-2022 18:05,Gunung Tangkuban Parahu,oke keren dingin buat menambah wawasan anak-anak jg dengan cerita tangkuban perahu,5,neutral,neutral,neutral,"Okay, cool, great for adding to children's knowledge with the story of Tangkuban Perahu.","Okay, cool and chilly, also good for broadening children's knowledge with the story of Tangkuban Perahu.",the place is the the the the the the the the the the the the the the the
8,1c79cca5213441d5a03fd4e871be0d97,15-02-2020 13:05,Taman Lembah DEWATA,luas tempatnya utk biaya masuk 20rb weekday 25rb weekend,3,neutral,neutral,neutral,"The space is large, for an entrance fee of 20,000 on weekdays and 25,000 on weekends.",The place is spacious. The entrance fee is 20k on weekdays and 25k on weekends.,the place is the the the the the the the the the the the the the the the
9,1813e36c32984e2c96e84e308e2dde8a,23-09-2022 18:12,Ciwangun Indah Camp (CIC),tmp yg menyenangkan buat refreshing hiking camping tp sayang toilet dan mesjid sepertinya hrs dibenahi lg jg akses jln menuju ke cic pun kurang nyaman,4,negative,negative,neutral,"A fun place for refreshing hiking and camping, but unfortunately the toilets and mosque seem to need renovation, and the road access to Cic is also not very comfortable.","A fun place for refreshing, hiking, and camping, but unfortunately, the toilet and mosque seem to need to be fixed up. Also, the road access to CIC is not very comfortable.",the place is the the the the the the the the the the the the the the the
