id,datetime,location,text,rating,accessibility,facility,activity,english_translation
68b8ed181b794a2cb4c11d4a667b9beb,15-02-2019 13:05,Taman Lembah DEWATA,bagus bersih masih sepi jadi enak,5,neutral,neutral,positive,"Good, clean, still quiet so it's nice"
3b251988b82c428fb18da45dfe430264,15-02-2019 14:20,Situ Ciburuy,di sini dingin yang mau ke sini bawa jaket ya,5,neutral,neutral,positive,"It's cold here, whoever wants to come should bring a jacket."
89cb60c13aeb47f49334f0bed5b001c3,23-02-2021 18:34,Orchid Forest Cikole,enak banget ke sini pas hari jumat sepi,5,neutral,neutral,positive,"It's really nice to come here on Fridays, it's quiet."
2efdc6a5fd6f4593acf383395e6ba813,15-02-2019 13:48,Curug Maribaya,sayang sekali enggak boleh mencebur ke curugnya,3,neutral,neutral,negative,It's a shame we can't swim in the waterfall.
5cefb20d7c9d46a88e1d701945753711,23-02-2021 18:13,Ciwangun Indah Camp (CIC),air terjun dan kebon tehnya bagus dan asri,3,neutral,neutral,neutral,The waterfall and the tea plantation are beautiful and verdant
ef30500b7cd347dab4ded3219d5c6f2b,15-02-2021 12:24,Curug Tilu Leuwi Opat,ada tempat baru buat nongkrong di taman kopi,5,neutral,neutral,neutral,There's a new spot to hang out at the coffee park.
6e3fcf13e9e64cb9a4225474cd7a6af6,23-02-2022 17:58,Floating Market Lembang,kalo ke sini harus bawa anak jagan sendiri,5,neutral,neutral,neutral,"If you come here, you must bring children, don't come alone."
359db794346d4938b53ae5904bd4cc44,15-01-2023 12:39,Sarae Hills,lumayan buat 1 tempat bisa 7 negara di kunjungi,5,neutral,neutral,neutral,"Pretty good for 1 place, you can visit 7 countries."
1129443658bf4a77b3e6a3134e5801b0,15-02-2020 13:05,Taman Lembah DEWATA,tmptnya ok apa lagi buat yang lagi kesemsem,2,neutral,neutral,positive,"The place is okay, especially for those who are infatuated."
ca1ccc3401dc45d2810353ea77dd212a,23-01-2023 18:05,Gunung Tangkuban Parahu,awal tahun 2023 semoga lebih baik dari tahun sebelum ya,4,neutral,neutral,neutral,"early 2023, hopefully it's better than the previous year"
07548f977162400f91e0705574e008ef,15-02-2019 12:39,Sarae Hills,tempat yang sangat ramai dan keren bagi buat foto 2,5,neutral,neutral,positive,A very crowded and cool place for photos
959bf6000cac4163bc063279f6e9b82c,15-02-2019 13:48,Curug Maribaya,krg terawat sampai di atas enggak tau apa yang mau di lihat,3,neutral,neutral,negative,"well-maintained up to the top, don't know what there is to see"
8f545bf369ea47c882b306411b7d2fb5,15-02-2019 13:30,Stone Garden,mau tanya dong disini bisa masuk elf besar enggak ya thx,4,neutral,neutral,neutral,"Just want to ask, can a big elf enter here? Thanks."
cbb4275a54354bc18c90b9586330c576,15-02-2020 13:30,Stone Garden,sore atau pagi kalo malam di sediakan spot bagus kayaknya,5,neutral,neutral,neutral,"Or maybe morning, if the night has nice spots provided, it seems."
40a18e30830c4ed78b7e696be1187e9b,15-02-2021 14:05,Curug Layung Camp Situ Lembang,aku belum pernah ke sana jadi aku menyukai tempat ini,5,neutral,neutral,neutral,I've never been there so I like this place.
2c3da4cf3f824a2bb94e431874ad739a,15-02-2019 13:49,Curug Maribaya,keren tempat yang indah buat muda mudi yang senang selvy,5,neutral,neutral,positive,"Cool place, a beautiful spot for young people who like to sing."
962f4765933c46fe9a06b18af5a9805e,15-02-2020 12:24,Curug Tilu Leuwi Opat,kesini pas lagi kering masih asri kok adem,4,neutral,neutral,positive,"Come here when it's dry, it's still beautiful and cool."
6e2855c0eaca42e48d8852bd6ef8377e,23-02-2022 18:13,Ciwangun Indah Camp (CIC),keren yuk lanjut ke cikole lebih yuk lagi,5,neutral,neutral,neutral,"Cool, let's head to Cikole, even cooler!"
0349fd75918749ec87fcb688d0b004bd,15-10-2022 12:40,Sarae Hills,bagus buat poto poto sayang enggak bisa botram di lokasi,3,neutral,negative,positive,"Good for taking pictures, too bad we can't have a picnic at the location."
ae8aba03b288454490d44b8b47398565,15-02-2022 14:05,Curug Layung Camp Situ Lembang,recommended nyaman asri di best lah kokona mah,5,neutral,neutral,positive,"Recommended, comfortable, natural, the best, why Kokona?"
219e6b93b1244c64befb65f6872abf98,23-02-2022 18:05,Gunung Tangkuban Parahu,tempat wisata alam yang menarik sejuk dan indah,5,neutral,neutral,neutral,"Attractive, cool, and beautiful natural tourist destination"
4601556235934618a6c25973320984e9,15-02-2021 13:23,Gunung Putri Lembang,view sore hari pagi dan malam harinya ku indah sekali,4,neutral,neutral,positive,"The view in the afternoon, morning, and at night is so beautiful."
fbeefe7ba7b843bf9596e4f06a1411f1,15-02-2019 13:48,Curug Maribaya,jalan ya kecil berkelok dan turun naik dan kadang macet,3,negative,neutral,neutral,"The road is small, winding, up and down, and sometimes jammed."
20a3327b66be481691d6022f6df03cb7,23-02-2022 18:23,Terminal Wisata Grafika Cikole,adem banget udaranya nyaman bersih pas buat yang bulan madu,5,neutral,neutral,positive,"The air is very refreshing and comfortable, perfect for honeymooners."
077f742604ca47f3ba8db10aa6819ea7,15-02-2022 11:58,Curug Malela,dari bandung lumayan bagus jalan a jejak gowes,5,neutral,neutral,neutral,"from Bandung, the bike ride is quite good"
fc850921d03e4a5dbbc03956f62b19ff,15-02-2021 13:23,Gunung Putri Lembang,ada yang punya nomor bacanya kira-kira buka enggak weekend nih,5,neutral,neutral,neutral,Does anyone have their BC number? Do you think they'll be open this weekend?
d10e397fbe974544aec18912828dd366,15-05-2022 13:04,Taman Lembah DEWATA,masuk cuma 20k sudah dapat pemandangan sebagus ini,3,neutral,neutral,positive,"For only 20k, you get to see a view this good."
de14a623cc5f420cb724326e8cd70880,15-03-2022 12:39,Sarae Hills,untuk objek yang cuma sebegitu tiket masuknya terlalu mahal,5,neutral,negative,neutral,the entrance fee is too expensive for an object of such little value
4b0e811b7f7344cebcdbbdfb319cfb9d,15-02-2019 13:29,Stone Garden,enggak menyangka bisa dapat spot foto yang recommended,3,neutral,neutral,positive,Didn't expect to get a recommended photo spot
6d6eba3a7c574a00a9e502fe0a3d9192,23-02-2019 18:13,Ciwangun Indah Camp (CIC),kok kayak yang kurang ke urus ya padahal tempatnya indah,3,neutral,negative,neutral,"Perhaps something was neglected, even though the place is beautiful."
749e494d51e84f1a993b9383e6cb7738,15-02-2019 13:30,Stone Garden,untuk yang suka outdoor foto-foto tapi makanan cuma ada di bawah,5,neutral,neutral,neutral,For those who like outdoor photos but food is only available downstairs
08a540c41ba1406898e77080f209fbf8,15-02-2021 12:25,Curug Tilu Leuwi Opat,rute tidak terlalu ekstrim untuk anak-anak atau pun orang tua,4,positive,neutral,neutral,the route is not too extreme for children or the elderly
3cd76c45af91471f845cf810c141ab82,15-02-2022 14:09,Curug Cimahi / Curug Pelangi,curug yang sangat tinggi tempatnya cocok buat olah raga,4,neutral,neutral,positive,"A very tall waterfall, a suitable place for sports"
4d70b967b5a94e51950283ee67e94fb2,15-02-2019 13:30,Stone Garden,pemandangan bagus tapi belum nyaman kalo ada monyet,5,neutral,neutral,positive,"The view is good, but it's not comfortable yet if there are monkeys."
f037c77abb4944eda96746a3492878ea,15-06-2022 13:24,Gunung Putri Lembang,bagus buat camping olah raga tiket masuk terjangkau,5,neutral,neutral,positive,"Good for camping, sports, affordable entrance fee"
57550c324e704d56a25829e890e01beb,15-02-2022 13:23,Gunung Putri Lembang,keren post fotonya cuma susah ke air jauh benget,4,neutral,negative,positive,"Great post, the photo is just difficult to get to the water, it's very far."
1bbec7fd98f04a668fa68e63b2228c36,23-07-2022 18:13,Ciwangun Indah Camp (CIC),tempatnya bagus dengan hamparan kebun teh dengan air terjun,4,neutral,neutral,neutral,The place is nice with sprawling tea gardens and a waterfall
fec2f40274cd43dda613013091099f8b,23-02-2021 18:34,Orchid Forest Cikole,mantap dingin hanya spot foto dan ada live music juga,5,neutral,positive,positive,"Awesome, cold, there's only a photo spot and live music too."
93df05a5937445618b909bcd3fa3d87d,15-02-2020 13:29,Stone Garden,jalan menuju kesini lumayan susah dan becek enggak ada ojek,5,negative,neutral,neutral,"The road to get here was quite difficult and muddy, and there were no motorcycle taxis."
4ba9c14a31ad436bb10b25261477096c,15-02-2019 13:48,Curug Maribaya,bagus sih tapi kurang cocok buat penikmat curug,5,neutral,neutral,positive,"It's good, but not really suitable for waterfall enthusiasts"
585d931db858485d9c7446672b98d167,15-02-2019 14:18,Curug Sawer Cililin,hari minggu gratis tapi ada oknum yang meminta karcis masuk,4,neutral,neutral,neutral,"Sunday is free, but there are people who demand an entrance fee."
04e79750b0ab4bdd9cfb7381984178b4,15-02-2020 12:32,Taman Hutan Jayagiri Lembang,udara yang sejuk alam pinus yang indah dan ada wc umum,5,neutral,neutral,positive,"Cool air, beautiful pine nature, and a public toilet."
914069d659594f9b8797f5f84e84ed5e,15-11-2022 13:23,Gunung Putri Lembang,buat camping ceria nih asikk lokasinya dkt dari parkiran,5,neutral,neutral,positive,"This is a fun camping trip, the location is close to the parking lot."
cd483e7e7173400e8767baf9c90cccc1,15-02-2020 13:48,Curug Maribaya,bagus dan ada kolam rendam nyam buka sampai malam lagi,5,neutral,neutral,positive,"Good, and there's a dip pool, open until late at night."
a66a8dc22e43448e80d74e18405a972b,15-02-2022 14:09,Curug Cimahi / Curug Pelangi,curug cimahi best view harus kesini kalo ke bandung ya,5,neutral,neutral,positive,"Curug Cimahi, best view, you must come here if you go to Bandung."
cb5228da5859491e871ac35f8b8a7b76,15-10-2022 12:39,Sarae Hills,cukup mhl naik jmbatan bayar lagi bukan 1 paket karcisnya,5,neutral,neutral,negative,"quite expensive to cross the bridge, paying again, not one ticket package"
f1c33be4558442c08209eec8e87bbae2,23-12-2022 17:57,Floating Market Lembang,jujur bagusan pas terakhir kali ke sini tahun 2018,5,neutral,neutral,neutral,"Honestly, it was better the last time I was here in 2018."
3bf11fb25b33424c815b6ff380060cc8,15-05-2022 12:24,Curug Tilu Leuwi Opat,curugnya ada banyak dan curug yang terakhir agak ngumpet,5,neutral,neutral,neutral,"There are many waterfalls, and the last one is a bit hidden."
c883b059ea8d462c85d45f6694bbb3ba,23-02-2022 18:13,Ciwangun Indah Camp (CIC),seru banget udaranya segar jadi pengin lagi ke sana hha,5,neutral,neutral,neutral,"So much fun, the air is so fresh, makes me want to go back again, haha"
c0cf6561799742d8a002c2ab9546c62c,23-12-2022 18:22,Terminal Wisata Grafika Cikole,tempat yang adem masuk sudah termasuk wahana flying fox dll,4,neutral,neutral,positive,"A cool place, entry includes the flying fox and other rides."
3d25fe70b63546ce97b2ccf030cdaa43,15-07-2022 12:39,Sarae Hills,tempatnya enak pelayanannya juga baik-baik bagus buat poto,5,neutral,neutral,positive,"The place is nice, the service is also good, great for photos"
c30d569138f246a1b56c6a1e2e769a2e,15-02-2021 12:24,Curug Tilu Leuwi Opat,sayang pas ke sini airnya surut tempat bagus dan nyaman,5,neutral,positive,positive,"dear, when I came here, the water had receded. It's a nice and comfortable place."
9ac9ec7c0d52490b80e2d0c254f7aaed,23-05-2022 18:22,Terminal Wisata Grafika Cikole,enak buat krlga anak bisa maen-maen dengan aman juga keren lah,5,neutral,positive,positive,"great for the family, kids can play safely, also cool"
88ea6c1ba2ec4f41b00a452b457dfbfa,15-02-2020 13:49,Curug Maribaya,cuma spot curug mininya saja yang cukup menghiburku disini,4,neutral,neutral,positive,Just the spot of the mini waterfall was enough to entertain me here.
5fbbc480b3084a3ba41a81a03118705b,15-02-2021 14:15,Bukit Senyum,mantap pemandangannya apa lagi bawa cewek haha,4,neutral,neutral,positive,"Awesome view, especially with a girl haha"
9f085bdc2876409590c3192dc285aa15,15-02-2022 21:07,Curug Panganten,tidak terlalu tinggi tapi cukup dingin siap basah kan,5,neutral,neutral,neutral,"not too high but cold enough, ready to get wet"
392ec9aad1eb49f386c9d6769eeb3c1e,15-02-2021 13:49,Curug Maribaya,tempat yang asik adem asri dan buat foto-foto deh,5,neutral,neutral,positive,"A fun, cool, and scenic place, perfect for taking photos."
