id,datetime,location,text,rating,accessibility,facility,activity,english_translation,better_english_translation,LSTM_pred,pred_helsinki_baseline,pred_helsinki_finetuned,pred_nllb_baseline,pred_nllb_finetuned,mbart_baseline,pred_mbart_finetuned
21d6620348df43dfa535405763836cf0,23-05-2022 17:57,Floating Market Lembang,dengan suasana lembang yang sudah padat masih cocok untuk destinasi wisata keluarga wahana slide rainbow termasuk yang menantang adrenalin walau cuma 10detik dan wisata danaunya cocok untuk keluarga tempatnya beraih rapi dan tertata dengan baik,5,neutral,positive,positive,"Even with the already dense Lembang atmosphere, it's still suitable as a family tourist destination. The Rainbow slide, though only 10 seconds long, is an adrenaline-pumping attraction. The lake tourism is also suitable for families, with the place being clean, tidy, and well-organized.","Even with Lembang's already crowded atmosphere, it is still suitable as a family tourist destination. The Rainbow Slide is an adrenaline-pumping ride, even though it's only 10 seconds, and its lake attraction is suitable for families. The place is clean, neat, and well-organized.",the place is the the the the the the the the the the the the the the the,"With the dense atmosphere of the viscera, it's still suitable for the destination of the family's rainbow slide ride, including those that challenge adrenaline. Even though it's only 10 seconds and the lake tour is suitable for the family. The place is neat and well-organized.","With the dense Lembang atmosphere, it's still suitable for family tourist destinations, including those who challenge adrenaline, even though it's only 10 seconds and the lake tour is suitable for families. The place is tidy and well-organized.",With the atmosphere of the terrain that is already dense still suitable for family tourist destinations car slide rainbow including those that challenge the adrenaline although only 10 seconds and the lake tour is suitable for family the place is neat and well organized,"With a dense Lembang atmosphere, it's still suitable for family tourist destinations, including adrenaline-pumping rainbow slide rides, even though it's only 10 minutes, and the lake tour is suitable for families. The place is neat and well-organized.","With its rugged slopes, it's still a family-friendly destination, with its slide rainbows and adrenaline-stricken interiors for just 10 seconds, and a family-friendly lakeside resort, well maintained and well maintained.","With its dense Lembang atmosphere, it is still suitable for family tourist destinations. The rainbow slide rides, including those that are adrenaline-pumping, are only 10 minutes away. The lake tour is suitable for families. The place is well-maintained and well-organized."
c1592a8827344973ae1408a75630762f,15-02-2022 13:43,Sanghyang Heuleut,supaya enggak bingung pemberhentian di warung batu aki ada parkiran siapkan fisik ya jalanan menurun sekitar 1 jam berjalan baru tiba,1,neutral,neutral,neutral,"So you're not confused, the stop at Warung Batu Aki has parking. Prepare yourselves physically, it's about a 1-hour downhill walk until you arrive.","To avoid confusion, the stop is at Warung Batu Aki where there's a parking area. Be physically prepared; it's about a 1-hour downhill walk to arrive.",the place is the the the the the the the the the the the the the the the,"There's a parking lot. Physical. Yeah, well, the streets are down.","To avoid confusion, stops at the stone stall, there's a parking lot, prepare your physical. The road is downhill for about an hour and a new walk arrives.",So don't be confused. Stop at the battery stall. There's a parking lot.,"So you don't get confused, stop at the stone stall, there's parking. Prepare yourself physically, the road is downhill, about an hour's walk before arriving.","So I got confused. I stopped at the corner of the stone shop, and there's a parking lot, and I'm physically preparing to go down the road. It's about an hour's walk away.","So that you don't get confused, stop by the Aiki Stone stall. There's a parking lot. Prepare yourselves, the road is downhill, about 1 hour walk before you arrive."
469e10571d4d4dca831da77a921a45bf,15-02-2020 13:05,Taman Lembah DEWATA,tempatnya asri adem cocok bawa main anak-anak ada perahu sepeda air bisa naik kuda banyak jajanan,5,neutral,positive,positive,"The place is beautiful and cool, suitable for bringing children to play. There are paddle boats, and you can ride horses and there are many snacks.","The place is serene and cool, perfect for bringing the kids to play. There are paddle boats, horse riding, and lots of snacks.",the place is the the the the the the the the the the the the the the the,"fontcolor="" # FFFF00""asriademsuited fontcolor="" # FFFF00""take playboy fontcolor="" # FFFF00""therebikewaterhorsescan ridemanys","The place is beautiful, cool, suitable for bringing children to play, there's a boat, a water bike, and there are many snacks.",The place is asri adem suitable to bring to play children there is a boat water bike can ride horses many cakes,"The place is beautiful and cool, suitable for bringing children to play. There are boats, water bicycles, and horseback riding. There are many snacks.","It's a nice place with a lot of cool air, lots of kids' toys, lots of water bikes, lots of horses.","The place is beautiful and cool, suitable for bringing children to play. There are boats, water bikes, horse riding, and many snacks."
fa590a9b8bfa484e8646833fb12f34ac,15-02-2020 12:57,Kebun Begonia Lembang,kebun bunganya indah unik ditambah patung-patung binatang yang menarik saran tolong ditambahkan playground untuk anak kecil jadi anak-anak kecil betah berlama-berlama di sana,3,neutral,neutral,positive,"Its flower garden is beautiful and unique, with interesting animal statues. My suggestion is to add a playground for small children, so that little ones will feel at home there for a long time.","The flower garden is beautiful and unique, with the addition of interesting animal statues. A suggestion: please add a playground for young children, so the kids will enjoy staying there for a long time.",the place is the the the the the the the the the the the the the the the,The flower garden is uniquely beautiful. Plus the sculptures of animals that are attractive. The suggestion is please add a playground to the children.,"The flower garden is beautiful, unique, plus attractive animal statues. My suggestion is to add a playground for children, so little children can stay there for a long time.",The gardens are beautiful and unique plus the statues of animals that attract suggestions please add a playground for the little ones so the little ones can spend a lot of time there,"The flower garden is beautiful, unique, plus interesting animal statues. Suggestion: Please add a playground for young children so they can spend more time there.","It's a beautiful, unique flower garden, and it's got these really interesting animal sculptures, and I'd like you to please add a little playground for the little kids, so the little kids can just go and play around on the playground.","The flower garden is beautiful and unique, plus there are interesting animal statues. My suggestion is to add a playground for small children, so the little ones can just relax there."
0e8e4b0f6fe84c55887233850f6845cf,23-01-2023 18:22,Terminal Wisata Grafika Cikole,asyik untuk staycation pemandu outbound juga mampu mengelola kegiatan dengan baik,4,neutral,positive,neutral,"fun for a staycation, the outbound guide is also capable of managing activities well","Fun for a staycation, the outbound guide is also able to manage the activities well.",the place is the the the the the the the the the the the the the the the,fun for outbound guide staycation is also able to manage activities well,"Fun for staying, outbound guides are also able to manage activities well",The outbound guide is also able to manage activities well.,"Fun for a staycation, outbound guides are also able to manage activities well.",Fun for staycations. Outbound guides are good at managing activities.,"Fun for a staycation, the outbound guide is also capable of managing activities well."
9573040b03b84ed49e70dee2fcb7ce10,15-07-2022 12:40,Sarae Hills,tempat yang sangat bagus untuk keluarga perlu berjalan dan mendaki sedikit,5,neutral,neutral,positive,"A very nice place for families, you need to walk and hike a bit","A very good place for families, requires a little walking and hiking.",the place is the the the the the the the the the the the the the the the,It's a very nice place for a family to have to walk and climb a little.,A very good place for families to walk and hike a bit,A great place for a family to walk and climb a little.,A very good place for families to walk and hike a bit,It's a great place for families to just walk around and have a little bit of fun.,"A very good place for families, you need to walk and climb a bit"
22668a4edb294012a526189c3b3e7f80,15-02-2019 13:23,Gunung Putri Lembang,tempatnya bagus banget banget banget trekking jalannya enak tapi trekking motornya agak susah buat dikendaraan motor untuk running man untuk camping tapi kalo buat motor gunung sih ya cocok cocok saja,4,positive,neutral,positive,"The place is really, really nice. The walking trails are good, but the motorbike trails are a bit difficult for motorbikes. For running, for camping, it's okay. But for dirt bikes, yeah, it's quite suitable.","The place is really, really good. The hiking trail is pleasant, but the motorbike trail is a bit difficult for a regular bike. It's good for camping, but for a dirt bike, it's perfectly suitable.",the place is the the the the the the the the the the the the the the the,"It's a great place to keep track. It's a nice way to go, but it's kind of hard to track the bike for a man to drive, but if you make a mountain bike, it fits.","The place is really nice, the trekking road is nice, but the motorcycle trekking is a bit difficult for motorcycles to ride, man for camping, but if you make mountain bikes, it's suitable.",It's a nice place. It's a nice place. It's a nice place. It's a nice place.,"The place is really nice, the trekking path is nice, but the motorcycle trekking is a bit difficult for motorcycle riding, for running men, for camping, but if it's for mountain bikes, it's suitable, just right.","It's a nice place to be, it's nice to walk, it's nice to have a nice road, but it's kind of hard to drive, it's kind of hard to run on a mountain bike, it's kind of hard to camp on a mountain bike, but I think mountain bikes are great.","The place is really nice, you can't hear the trekking path, it's nice, but the motorcycle trekking is a bit difficult. For motorcycles, it's good for running, good for camping, but for mountain motorcycles, it's just perfect."
4aa77301cfe846419bea6b74b2581bd2,23-02-2022 18:05,Gunung Tangkuban Parahu,oke keren dingin buat menambah wawasan anak-anak juga dengan cerita tangkuban perahu,5,neutral,neutral,neutral,"Okay, cool, great for adding to children's knowledge with the story of Tangkuban Perahu.","Okay, cool and chilly, also good for broadening children's knowledge with the story of Tangkuban Perahu.",the place is the the the the the the the the the the the the the the the,It's cool to add to the kids' insight with the boat's pliers.,"Okay, cool, cool for adding to the children's insight, also with the story of Tangkuban Perahu.","Okay, cool cool to add to the children's insight. Don't go with the boat story.","Okay, cool, cool, to add children's insight with Tangkuban Perahu stories.","It's cool, cool, cool, cool, cool, cool, cool, cool, cool, cool.","Okay, cool, cold, to increase children's awareness also with the story of Tangkuban Perahu"
1c79cca5213441d5a03fd4e871be0d97,15-02-2020 13:05,Taman Lembah DEWATA,luas tempatnya untuk biaya masuk 20rb weekday 25rb weekend,3,neutral,neutral,neutral,"The space is large, for an entrance fee of 20,000 on weekdays and 25,000 on weekends.",The place is spacious. The entrance fee is 20k on weekdays and 25k on weekends.,the place is the the the the the the the the the the the the the the the,The area's wide for 20rb weekly 25rb weekend entry fees.,The place is spacious for entrance fees 20k on weekdays 25k on weekends.,It's a lot of space for an entrance fee of 20rb weekdays 25rb weekends.,"The place is spacious for an entrance fee of 20,000 on weekdays and 25,000 on weekends.","The space is 20 square feet on a weekday, 25 square feet on a weekend.","The place is spacious, the entrance fee is 20,000 IDR on weekdays and 25,000 IDR on weekends."
1813e36c32984e2c96e84e308e2dde8a,23-09-2022 18:12,Ciwangun Indah Camp (CIC),tmp yang menyenangkan buat refreshing hiking camping tapi sayang toilet dan mesjid sepertinya harus dibenahi lagi juga akses jalan menuju ke cic pun kurang nyaman,4,negative,negative,neutral,"A fun place for refreshing hiking and camping, but unfortunately the toilets and mosque seem to need renovation, and the road access to Cic is also not very comfortable.","A fun place for refreshing, hiking, and camping, but unfortunately, the toilet and mosque seem to need to be fixed up. Also, the road access to CIC is not very comfortable.",the place is the the the the the the the the the the the the the the the,"It's nice to freshen up, but toilets and mosques seem to have to be cleaned up again. Access to cic is uncomfortable.","A pleasant place for refreshing camping hiking, but unfortunately toilets and mosques seem to be well-maintained. Access to Cic is also a bit uncomfortable.",It's nice for a refreshing hiking camping but I love the toilet and the mosque.,"A fun place for refreshing hiking and camping, but unfortunately, the toilets and the mosque seem to have to be renovated, and the access road to Cic is also not comfortable.","It's nice to have a refreshing campsite, it's nice to have a toilet, it's cool to have a shower, it's kind of sunny, it's not very comfortable to get there.","A fun place for refreshing hiking and camping, but unfortunately, the toilets and mesjid seem to be neglected. Also, the road access to the cic is not very comfortable."
