,id,datetime,location,text,rating,accessibility,facility,activity,english_translation
0,ace740f2005346b0b9221da3513dcc18,15-09-2022 12:57,Kebun Begonia Lembang,tempat wisata yang bagus dan terhitung murah di bandung menyenangkan bisa menghabiskan waktu pagi pagi di kebun bunga makanan oke harga juga murah meriah boleh dicoba,5,neutral,positive,positive,"A good and relatively cheap tourist spot in Bandung, it's pleasant to spend the morning in the flower garden. The food is okay and the prices are also cheap and cheerful. You should try it."
1,1f3054b3aa114e748118e00216d6348a,23-02-2019 17:58,Floating Market Lembang,tempat wisata alam yang keren hijau dan ada danaunya cocok untuk semua usia tapi harus memperhatikan anak-anak untuk sekitar danau ada banyak permainan air sepeda air kano dll banyak juga pilihan makanan untuk jajanan ataupun makan salah satu tempat favorit untuk wisata daerah bandung,4,neutral,neutral,positive,"A cool, green natural tourist spot with a lake, suitable for all ages, but children must be supervised. Around the lake, there are many water activities like water bikes, kayaks, etc. There are also many food options for snacks or meals. One of the favorite places for tours in the Bandung area."
2,8c1bafc91240497490db99ca67464484,15-02-2021 13:43,Sanghyang Heuleut,akses jalan menuju spot sungguh luar biasa siapkan energi ya kalo mau kesini spotnya exotic,4,neutral,neutral,positive,"The road access to the spot is truly extraordinary, prepare your energy if you want to come here, the spot is exotic."
3,ee326dce624c45a7bba611fccce72a6d,15-02-2020 13:22,Gunung Putri Lembang,kamping di sini pas malam tahun baruan 2019 the good view place luas tempat campingnya murah pula biayanya,5,neutral,neutral,neutral,"Camping here for New Year's Eve 2019. The good view place, spacious campsite, and cheap cost too."
4,67aee760b5ee47aca567694be54e08a2,15-02-2020 13:48,Curug Maribaya,nice place untuk merefresh pikiran tempatnya adem harga di cafenya juga standart recommended buat piknik keluarga maupun dengan pasangan,5,neutral,neutral,positive,"Nice place to refresh your mind, the place is cool, the prices at the cafe are also standard, recommended for family picnics or with a partner."
5,c723aff027a94b85b5ccf3e914bb4d38,23-02-2020 18:05,Gunung Tangkuban Parahu,yang hobi foto-foto disini tempatnya info tiket masuk perhari ini 30rb orang dan parkir 18rb motor,5,neutral,neutral,neutral,"If you like taking photos, this is the place for you. Entrance ticket information for today is 30,000 per person and 18,000 for motorcycle parking."
6,d31977cd32c54b3da3051d707464707d,15-02-2022 12:57,Kebun Begonia Lembang,saat weekend tiket masuk 15rb tidak diperbolehkan foto-foto menggunakan kamera bagi yang membawa kamera harap dititipkan di tempat penitipan bunga-bunga yang ada disini bagus-bagus tertata rapi spot-spot fotonya juga banyak selain taman bunga disini juga terdapat kebun yang menghasilkan buah-buahan dan sayuran hasil kebunnya pun dijual di sana,5,neutral,neutral,positive,"During the weekend, the entrance fee is 15,000 rupiah. Photography with cameras is not allowed. Those who bring cameras must leave them at the designated storage. The flowers here are beautiful and well-arranged, with many good photo spots. Besides the flower garden, there is also a garden that produces fruits and vegetables. The produce from the garden is also sold there."
7,33a739c32b9b416caaeed9bc717b6f08,15-02-2022 13:04,Taman Lembah DEWATA,tempatnya enak cocok buat bersantai family time bisa sepedahan berkuda naik perahu sepeda air dan yang pasti murah meriah enggak bikin kantong bolong,2,neutral,neutral,positive,"The place is nice, suitable for relaxing family time. You can go cycling, horseback riding, take a boat ride, ride a paddle boat, and most importantly, it's affordable and won't break the bank."
8,3c0debdda099434cb2e2b33f1cb83fc1,23-02-2021 18:04,Gunung Tangkuban Parahu,semoga bisa dapat view yang bagus karena kabut sering menyerang bila musim hujan,5,neutral,neutral,neutral,hopefully can get a good view because fog often occurs during the rainy season
9,bc24ed26249a497c80e9b2dd2ddf3764,15-07-2022 14:09,Curug Cimahi / Curug Pelangi,silakan yang stok labelnya sudah menipis atau mau mulai pakai label di pakaiannya bisa kita bantu ya bosku khusus produksi - label woven - label satin - label piterban - hangtag - plastik kemasan dll demi label jl ke natawijaya no 121 90 keluarga cibadak kec astanaanyar kota bandung whatsaap 082216141676,4,neutral,neutral,neutral,"Please, if your label stock is running low or you want to start using labels on your clothes, we can help you, boss. Specializing in the production of:
- Woven labels
- Satin labels
- Piterban labels
- Hangtags
- Packaging plastic, etc.

Label production at Jl. K Natawijaya No. 121, RT 90, Cibadak Village, Astanaanyar District, Bandung City.
WhatsApp: 082216141676"
