id,datetime,location,text,rating,accessibility,facility,activity,english_translation
68b8ed181b794a2cb4c11d4a667b9beb,2019-02-15 13:05:29,Taman Lembah DEWATA,"bagus , bersih , masih sepi jd enak 😁 …",5,neutral,neutral,positive,
3b251988b82c428fb18da45dfe430264,2019-02-15 14:20:51,Situ Ciburuy,"Di sini dingin, yg mau ke sini bawa jaket ya",5,neutral,neutral,positive,
89cb60c13aeb47f49334f0bed5b001c3,2021-02-23 18:34:30,Orchid Forest Cikole,"enak bgt ke sini pas hari jumat, sepiiii 😁 …",5,neutral,neutral,positive,
2efdc6a5fd6f4593acf383395e6ba813,2019-02-15 13:48:45,Curug Maribaya,sayang sekali ga boleh nyebur ke curug nya 😆 …,3,neutral,neutral,negative,
5cefb20d7c9d46a88e1d701945753711,2021-02-23 18:13:12,Ciwangun Indah Camp (CIC),Air terjun dan kebon tehnya bagus dan asri 👍 …,3,neutral,neutral,neutral,
ef30500b7cd347dab4ded3219d5c6f2b,2021-02-15 12:24:51,Curug Tilu Leuwi Opat,Ada tempat baru buat nongkrong di %an kopi 👍👍 …,5,neutral,neutral,neutral,
6e3fcf13e9e64cb9a4225474cd7a6af6,2022-02-23 17:58:34,Floating Market Lembang,Kalo ke sini harus bawa anak jagan sendiri 😊😊😊 …,5,neutral,neutral,neutral,
359db794346d4938b53ae5904bd4cc44,2023-01-15 12:39:45,Sarae Hills,Lumayan buat 1 tmpt bisa 7 negara di kunjungi 👍 …,5,neutral,neutral,neutral,
1129443658bf4a77b3e6a3134e5801b0,2020-02-15 13:05:10,Taman Lembah DEWATA,Tmptnya ok ... Pa LG bwt yg LG .... Kesemsem.....,2,neutral,neutral,positive,
ca1ccc3401dc45d2810353ea77dd212a,2023-01-23 18:05:21,Gunung Tangkuban Parahu,Awal tahun 2023 semoga LBH baik dari tahun sblm y,4,neutral,neutral,neutral,
07548f977162400f91e0705574e008ef,2019-02-15 12:39:52,Sarae Hills,Tempat yg sangat ramai dan keren bagi buat foto 2,5,neutral,neutral,positive,
959bf6000cac4163bc063279f6e9b82c,2019-02-15 13:48:56,Curug Maribaya,Krg terawat. Sampe d atas g tau apa yg mau d lihat,3,neutral,neutral,negative,
8f545bf369ea47c882b306411b7d2fb5,2019-02-15 13:30:28,Stone Garden,mau tanya dong disni bisa masuk elf besar ga ya? thx,4,neutral,neutral,neutral,
cbb4275a54354bc18c90b9586330c576,2020-02-15 13:30:19,Stone Garden,Sore atau pagi ...kl mlm di sediakan spot bgs kyknya,5,neutral,neutral,neutral,
40a18e30830c4ed78b7e696be1187e9b,2021-02-15 14:05:15,Curug Layung Camp Situ Lembang,Aku belum perna ke sana jadi aku menyukai tempat ini,5,neutral,neutral,neutral,
2c3da4cf3f824a2bb94e431874ad739a,2019-02-15 13:49:55,Curug Maribaya,Keren tempat yg indah buat muda mudi yg seneng selvy,5,neutral,neutral,positive,
962f4765933c46fe9a06b18af5a9805e,2020-02-15 12:24:58,Curug Tilu Leuwi Opat,"Kesini pas lagi kering , masih asri kok . Ademmm 😁 …",4,neutral,neutral,positive,
6e2855c0eaca42e48d8852bd6ef8377e,2022-02-23 18:13:02,Ciwangun Indah Camp (CIC),Keren kuy.. lanjut ke cikole lebih kuy lagi.. 👍👍👍👍 …,5,neutral,neutral,neutral,
0349fd75918749ec87fcb688d0b004bd,2022-10-15 12:40:00,Sarae Hills,bagus buat Poto Poto sayang ga bisa botram di lokasi,3,neutral,negative,positive,
ae8aba03b288454490d44b8b47398565,2022-02-15 14:05:12,Curug Layung Camp Situ Lembang,"Recommended, nyaman, asri, d best lah kokona mah 👍 …",5,neutral,neutral,positive,
219e6b93b1244c64befb65f6872abf98,2022-02-23 18:05:30,Gunung Tangkuban Parahu,"Tempat wisata alam yang menarik, sejuk, dan indah 😍 …",5,neutral,neutral,neutral,
4601556235934618a6c25973320984e9,2021-02-15 13:23:51,Gunung Putri Lembang,"View soe yari, pagi dan malam hari nya q indah sekali",4,neutral,neutral,positive,
fbeefe7ba7b843bf9596e4f06a1411f1,2019-02-15 13:48:59,Curug Maribaya,Jalan ya kecil berkelok dn turun naik dn kadang macet,3,negative,neutral,neutral,
20a3327b66be481691d6022f6df03cb7,2022-02-23 18:23:07,Terminal Wisata Grafika Cikole,Adem bngt udaranya nyaman bersih pas buat yg bln madu,5,neutral,neutral,positive,
077f742604ca47f3ba8db10aa6819ea7,2022-02-15 11:58:46,Curug Malela,Dari Bandung lumayan bagus jalan a jejak gowes 😄🍩🎉🚴 …,5,neutral,neutral,neutral,
fc850921d03e4a5dbbc03956f62b19ff,2021-02-15 13:23:47,Gunung Putri Lembang,"Ada yg punya nomor bc nya ?
Kira2 buka ga weekend ni?",5,neutral,neutral,neutral,
d10e397fbe974544aec18912828dd366,2022-05-15 13:04:27,Taman Lembah DEWATA,Masuk cuma 20k udah dapet pemandangan sebagus ini 💕 …,3,neutral,neutral,positive,
de14a623cc5f420cb724326e8cd70880,2022-03-15 12:39:35,Sarae Hills,Utk objek yg cm sgtu tiket masuk nya terlalu mahal...,5,neutral,negative,neutral,
4b0e811b7f7344cebcdbbdfb319cfb9d,2019-02-15 13:29:35,Stone Garden,Ngga nyangka bisa dapet spot foto yg recommended 👍😁 …,3,neutral,neutral,positive,
6d6eba3a7c574a00a9e502fe0a3d9192,2019-02-23 18:13:16,Ciwangun Indah Camp (CIC),Ko kaya yg kurang ke urus yah padahal tempatnya indah,3,neutral,negative,neutral,
749e494d51e84f1a993b9383e6cb7738,2019-02-15 13:30:15,Stone Garden,Utk yg suka outdoor&foto2; tp makanan cm ada di bawah,5,neutral,neutral,neutral,
08a540c41ba1406898e77080f209fbf8,2021-02-15 12:25:05,Curug Tilu Leuwi Opat,Rute tdk terlalu ekstrim untuk anak2 atau pun org tua,4,positive,neutral,neutral,
3cd76c45af91471f845cf810c141ab82,2022-02-15 14:09:05,Curug Cimahi / Curug Pelangi,Curug yg sangat tinggi tempat nya cocok buat olah raga,4,neutral,neutral,positive,
4d70b967b5a94e51950283ee67e94fb2,2019-02-15 13:30:03,Stone Garden,Pemandangan bagus... tp blm nyaman klo ada monyet 🙏😊 …,5,neutral,neutral,positive,
f037c77abb4944eda96746a3492878ea,2022-06-15 13:24:35,Gunung Putri Lembang,Bagus buat nge camp & olah raga tiket masuk terjangkau,5,neutral,neutral,positive,
57550c324e704d56a25829e890e01beb,2022-02-15 13:23:42,Gunung Putri Lembang,"Keren post foto nya , cuma susah ke air :( jauh benget",4,neutral,negative,positive,
1bbec7fd98f04a668fa68e63b2228c36,2022-07-23 18:13:01,Ciwangun Indah Camp (CIC),Tempat nya bagus dgn hamparan kebun teh dgn air terjun,4,neutral,neutral,neutral,
fec2f40274cd43dda613013091099f8b,2021-02-23 18:34:31,Orchid Forest Cikole,"Mantap, dingin hanya spot foto dan ada live music juga",5,neutral,positive,positive,
93df05a5937445618b909bcd3fa3d87d,2020-02-15 13:29:04,Stone Garden,jalan menuju kesini lumayan susah dan becek ga ada ojek,5,negative,neutral,neutral,
4ba9c14a31ad436bb10b25261477096c,2019-02-15 13:48:47,Curug Maribaya,"Bagus sih, tapi... Kurang cocok buat penikmat curug 🙏 …",5,neutral,neutral,positive,
585d931db858485d9c7446672b98d167,2019-02-15 14:18:34,Curug Sawer Cililin,Hari Minggu gratis tapi ada oknum yg minta karcis masuk,4,neutral,neutral,neutral,
04e79750b0ab4bdd9cfb7381984178b4,2020-02-15 12:32:54,Taman Hutan Jayagiri Lembang,Udara yang sejuk. Alam Pinus yang indah dan ada wc umum,5,neutral,neutral,positive,
914069d659594f9b8797f5f84e84ed5e,2022-11-15 13:23:00,Gunung Putri Lembang,Buat kemping ceria nih asikk lokasi nya dkt dr parkiran,5,neutral,neutral,positive,
cd483e7e7173400e8767baf9c90cccc1,2020-02-15 13:48:49,Curug Maribaya,"Bagus, dan ada kolam rendam nyam buka sampe malem lagi.",5,neutral,neutral,positive,
a66a8dc22e43448e80d74e18405a972b,2022-02-15 14:09:08,Curug Cimahi / Curug Pelangi,"Curug cimahi best view, harus kesini kalo ke Bandung ya",5,neutral,neutral,positive,
cb5228da5859491e871ac35f8b8a7b76,2022-10-15 12:39:46,Sarae Hills,"Cukup mhl.. naik jmbatan byr lagi
Bkn 1 paket karcisnya",5,neutral,neutral,negative,
